"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo4","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
204,1131,1295,49,1051,328,566,46,0,0,0,0,0,0,0,0,0,6,0,0,0,0
93,128,131,139,70,60,128,74,0,33,3,52,0,4,0,0,2939,330,21,5,115,25
698,233,262,1968,319,196,313,310,8,12,10,0,0,7,8,0,0,3,0,0,0,0
84,2397,75,639,61,251,185,304,0,53,0,0,14,30,20,0,0,0,0,144,18,11
2181,36,0,22,7,22,4,7,5,66,846,27,132,31,86,0,213,117,77,0,111,234
39,10,6,6,6,38,55,42,0,85,0,39,216,44,2919,6,117,44,351,0,29,168
0,0,0,0,0,0,0,450,0,12,0,0,0,3742,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2131,49,457,0,146,309,0,471,0,151,0,410,76
0,0,0,0,0,0,0,0,0,0,3912,52,13,0,0,46,0,34,0,0,109,0
4,564,613,22,411,339,1013,75,17,70,37,175,8,20,576,161,4,0,0,18,18,18
328,486,49,51,0,0,13,0,69,193,532,679,1439,103,54,0,150,10,0,0,0,0
78,79,147,164,121,70,315,80,92,147,297,657,142,218,223,60,109,224,64,117,433,182
0,0,0,0,0,0,0,0,0,41,149,218,3444,23,73,0,0,0,41,0,0,0
130,202,103,390,306,150,77,460,0,9,23,63,16,6,293,124,73,501,39,206,510,254
601,843,91,113,51,141,66,157,0,155,59,294,0,112,67,0,324,106,0,139,106,496
23,49,122,264,60,68,42,103,0,0,0,32,0,0,14,923,1305,352,0,70,287,102
770,314,680,139,872,214,632,92,0,5,0,0,0,0,0,0,0,0,0,0,0,0
388,501,38,0,66,244,97,322,0,382,0,193,948,163,265,0,0,59,0,0,0,0
6,8,47,108,3,13,34,30,0,38,14,49,21,0,75,222,728,1286,13,355,421,175
0,486,506,7,280,250,1247,42,18,54,36,153,12,21,380,119,0,0,0,9,7,12
0,0,0,0,22,0,0,0,0,23,160,11,24,0,2987,34,125,116,27,0,31,38
3,529,479,8,334,274,1013,56,31,49,39,374,15,18,170,147,0,0,0,7,13,16
12,5,26,32,0,5,12,21,31,47,108,89,0,26,0,11,0,3030,0,38,40,26
35,24,1320,28,107,672,419,0,0,352,0,0,0,54,0,0,0,327,0,38,16,0
