"ID","Taxonomy"
"ASV48","Root; k__Fungi; p__Fungi_unclassified; c__Fungi_unclassified; o__Fungi_unclassified; f__Fungi_unclassified; g__Fungi_unclassified"
"ASV49","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Sordariaceae; g__Sordariaceae_unclassified"
"ASV50","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Preussia"
"ASV51","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Preussia"
"ASV52","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Dactylonectria"
"ASV55","Root; k__Fungi; p__Fungi_unclassified; c__Fungi_unclassified; o__Fungi_unclassified; f__Fungi_unclassified; g__Fungi_unclassified"
"ASV58","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Plectosphaerellaceae; g__Verticillium"
"ASV59","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae; g__Cephalotrichum"
"ASV60","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Humicola"
"ASV61","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium"
"ASV63","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetes_unclassified; f__Sordariomycetes_unclassified; g__Sordariomycetes_unclassified"
"ASV64","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Chaetomium"
"ASV65","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Chaetomiaceae_unclassified"
"ASV66","Root; k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella"
"ASV67","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Botryotrichum"
"ASV68","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Chaetomium"
"ASV69","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Zopfiella"
"ASV70","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Plectosphaerellaceae; g__Verticillium"
"ASV71","Root; k__Fungi; p__Fungi_unclassified; c__Fungi_unclassified; o__Fungi_unclassified; f__Fungi_unclassified; g__Fungi_unclassified"
"ASV72","Root; k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__Coprinus"
"ASV73","Root; k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella"
"ASV75","Root; k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces"
"ASV76","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetes_unclassified; f__Sordariomycetes_unclassified; g__Sordariomycetes_unclassified"
"ASV77","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium"
"ASV78","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Zopfiella"
"ASV82","Root; k__Fungi; p__Fungi_unclassified; c__Fungi_unclassified; o__Fungi_unclassified; f__Fungi_unclassified; g__Fungi_unclassified"
"ASV83","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Chaetomium"
"ASV85","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetes_unclassified; f__Sordariomycetes_unclassified; g__Sordariomycetes_unclassified"
"ASV87","Root; k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus"
"ASV88","Root; k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Sclerotiniaceae; g__Botrytis"
"ASV90","Root; k__Fungi; p__Fungi_unclassified; c__Fungi_unclassified; o__Fungi_unclassified; f__Fungi_unclassified; g__Fungi_unclassified"
"ASV91","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium"
"ASV92","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Schizothecium"
"ASV93","Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified"
"ASV94","Root; k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella"
"ASV95","Root; k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Trimorphomycetaceae; g__Saitozyma"
"ASV96","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Clonostachys"
"ASV97","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Ilyonectria"
"ASV98","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Gibberella"
"ASV99","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Sordariales_fam_Incertae_sedis; g__Ramophialophora"
"ASV101","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Humicola"
"ASV102","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Cladosporiaceae; g__Cladosporium"
"ASV103","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetes_unclassified; f__Sordariomycetes_unclassified; g__Sordariomycetes_unclassified"
