"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo4","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
725,8,0,3,0,7,2,2,2,13,221,7,31,11,8,0,74,14,76,0,29,47
13,1,1,1,3,16,7,11,0,21,0,10,47,14,437,3,33,12,340,0,10,35
0,0,0,0,0,0,0,89,0,2,0,0,0,1301,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,581,11,95,0,56,42,0,169,0,147,0,114,10
0,0,0,0,0,0,0,0,0,0,993,12,1,0,0,19,0,4,0,0,28,0
2,101,147,7,91,121,230,12,13,16,12,40,1,6,85,88,1,0,0,4,5,1
99,88,12,14,0,0,3,0,51,48,141,143,333,45,6,0,52,1,0,0,0,0
25,8,31,55,40,34,67,26,64,43,81,146,44,97,42,27,37,38,64,35,124,35
0,0,0,0,0,0,0,0,0,9,42,44,832,9,10,0,0,0,40,0,0,0
39,42,25,129,67,75,11,93,0,0,5,14,6,4,37,60,22,111,39,50,155,41
209,163,24,33,11,52,13,36,0,38,12,63,0,44,6,0,116,28,0,42,22,88
11,8,38,85,13,31,8,20,0,0,0,8,0,0,2,441,437,66,0,15,82,28
259,63,161,35,196,82,135,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,93,7,0,20,113,16,75,0,107,0,32,203,55,40,0,0,14,0,0,0,0
3,1,12,33,1,9,3,5,0,12,4,8,6,0,9,96,258,269,12,85,123,30
0,72,114,1,64,109,282,5,13,13,11,37,3,7,54,45,0,0,0,2,3,1
0,0,0,0,5,0,0,0,0,7,45,3,8,0,425,19,48,29,27,0,12,3
0,79,105,3,73,106,210,13,27,8,9,72,0,6,24,68,0,0,0,5,3,2
5,1,9,8,0,2,3,3,20,15,28,16,0,9,0,5,0,639,0,8,7,2
9,6,328,7,27,268,109,0,0,95,0,0,0,16,0,0,0,65,0,10,5,0
0,0,0,0,0,0,0,0,307,142,21,81,59,100,57,22,99,32,153,12,68,24
4,17,0,3,3,0,70,8,0,0,205,12,0,146,0,10,16,101,149,45,98,57
92,90,145,60,152,154,90,35,0,0,0,0,0,0,0,0,0,15,0,0,7,0
30,133,5,32,10,9,5,8,17,33,17,41,7,9,12,10,38,4,0,154,63,84
31,10,0,0,2,12,2,4,0,70,0,57,444,96,43,0,0,0,0,0,0,0
0,58,88,7,20,189,169,8,8,9,5,72,0,3,33,32,3,3,0,1,4,2
0,0,596,0,0,9,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,9,19,391,0,102,0,306,40,10
83,122,50,27,73,110,83,0,22,7,74,43,0,2,0,66,5,0,15,8,0,3
0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,24,89,112,29,47,56,42,53,30,18,47,11,23,16,17,39,18,0,11,19,12
5,140,15,34,9,9,8,5,0,230,0,94,2,15,43,1,0,0,0,4,0,0
58,0,83,0,274,108,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,78,0,54,167,121,5,0,19,5,27,0,0,57,45,0,0,0,0,0,0
0,0,2,5,0,0,0,0,71,492,57,0,32,80,0,0,0,0,0,0,0,0
44,12,2,2,12,10,1,5,0,26,5,10,0,21,20,12,127,42,111,19,313,19
