"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo3","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
0,15,34,21,12,0,31,32,77,44,26,0,47,0,0,0,16,15,0,0,0,0
32,11,11,14,4,0,15,17,11,49,52,39,16,26,20,36,35,44,17,17,12,27
0,17,8,18,4,0,0,0,0,8,17,48,0,68,0,22,5,7,17,6,0,6
0,4,0,8,0,0,0,0,0,0,31,0,0,0,10,0,0,7,16,0,0,0
23,17,35,9,9,0,4,0,0,10,6,32,0,0,0,0,0,0,0,0,0,0
37,27,8,0,0,0,0,0,32,23,33,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0
32,43,39,30,19,174,21,20,0,28,19,0,35,35,20,0,8,0,0,7,0,30
21,13,21,15,0,0,0,0,0,24,16,0,0,0,0,0,0,0,0,0,0,0
11,10,9,0,0,0,0,0,0,24,8,50,0,42,0,0,0,0,0,0,0,0
0,33,50,35,16,0,13,19,0,12,24,0,0,0,19,0,0,0,0,0,0,14
58,2,9,0,0,0,0,0,0,16,6,15,3,0,0,0,17,0,0,0,0,0
40,25,50,0,0,0,5,0,62,34,16,30,0,0,0,19,12,3,22,0,0,0
45,23,37,44,34,0,13,16,0,0,0,0,0,0,38,40,26,31,0,9,14,49
25,20,21,33,0,25,19,13,34,33,23,47,29,27,0,0,0,0,23,0,0,17
0,0,17,18,0,0,8,0,0,11,15,54,0,0,0,0,14,18,0,0,0,0
52,32,36,26,32,47,19,21,10,18,16,50,13,38,10,10,9,6,0,6,0,16
0,10,0,0,10,0,0,10,26,0,0,0,8,52,11,65,53,28,99,10,0,0
0,13,17,43,0,0,0,0,41,24,15,0,0,0,0,0,48,0,45,0,16,0
106,32,21,32,0,0,2,0,32,24,21,0,2,0,0,0,1,0,8,0,0,0
36,10,0,0,0,0,4,0,0,18,0,7,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,15,1,5,8,0,0,0
44,31,28,32,15,16,18,15,9,34,27,79,17,19,9,13,7,0,0,5,0,10
31,16,21,22,11,20,21,20,0,9,13,0,0,0,14,32,34,15,22,9,10,17
5,2,0,0,5,0,49,283,0,0,0,0,11,0,0,0,2,10,0,18,26,4
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
41,3,0,0,0,0,76,0,300,11,21,220,3,0,0,0,0,0,0,0,0,0
0,3,6,9,0,0,0,0,5,30,0,366,0,24,0,0,0,0,0,0,0,0
0,35,40,35,9,29,25,18,0,15,14,20,12,35,11,0,5,7,3,4,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,15,30,0,0,0
12,7,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,54,0,0,0,14
0,0,15,0,0,0,0,0,19,25,0,67,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0
0,0,6,0,3,0,0,0,0,0,0,16,0,0,0,26,8,7,5,0,0,6
40,0,0,0,15,0,0,0,13,0,16,29,0,0,0,42,15,13,21,0,0,0
25,42,19,17,0,0,14,25,76,34,27,0,19,28,0,0,12,0,19,0,0,12
0,0,0,0,0,0,0,12,0,0,0,0,0,24,0,0,0,115,0,36,19,0
0,0,5,16,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,40,24,13,0,13,0,0,56,66,21,85,0,7,0
0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,16,109,0,0,0
0,15,22,19,9,17,8,8,0,17,33,59,16,0,0,16,16,3,0,1,0,0
0,35,12,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11,0,0,0,3,11,0,43,0,0,41,0,0,30,0,10,0,0,0
18,4,18,6,10,0,0,0,0,0,6,0,0,0,0,0,11,10,0,3,0,13
11,3,24,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,16,0,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,17,9,0,0,0
11,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,10,0,0,0,0,0
0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,57,0,0,13,0,0,0
0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,18,0,0,0,0
29,14,9,15,0,0,0,0,11,16,15,0,0,0,0,0,6,11,19,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,60,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,3
0,6,11,8,6,0,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
0,18,0,0,0,0,0,0,15,7,18,0,0,0,0,0,0,0,0,0,0,0
46,21,12,12,16,0,23,13,24,21,25,21,23,0,0,0,6,0,0,13,11,13
0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15,23,15,0,96,16,13
44,21,24,41,17,0,0,0,0,12,18,0,0,0,0,31,13,9,0,9,0,22
0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,48,16,19,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,48,0,0,0
0,0,0,0,0,0,8,0,5,34,3,0,5,0,11,39,13,11,8,53,4,5
0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,54,6,0,18,0,0,0
0,7,6,0,7,0,0,0,0,14,0,47,0,0,8,0,0,0,0,0,0,0
59,40,26,0,0,67,0,0,23,3,0,47,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,14,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,36,0,0,0
0,12,0,9,0,0,40,28,37,51,48,0,79,0,0,0,0,0,0,0,0,0
24,22,10,14,2,0,10,8,18,19,18,0,17,16,6,17,11,17,0,1,0,0
