"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo3","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,31,31,435,0,0,0
23,47,60,110,29,17,59,33,33,57,52,54,32,37,37,75,326,192,35,183,181,92
0,94,80,0,12,0,36,0,0,0,0,36,0,32,0,0,0,0,15,0,0,0
20,29,35,13,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,82,142,120,39,0,90,37,43,54,94,0,73,19,14,0,0,0,0,0,0,16
0,115,83,130,139,0,48,41,31,66,65,145,28,73,0,0,107,109,0,52,0,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,29,0,0,0
67,155,66,95,0,26,71,41,62,95,37,0,42,30,0,0,0,0,0,0,0,0
59,32,24,0,0,0,0,0,54,74,42,48,0,0,0,117,62,29,36,0,0,0
11,18,99,15,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
38,116,128,96,173,30,170,129,16,33,74,0,234,0,61,14,116,89,16,95,147,98
66,153,195,200,151,0,115,99,0,69,96,0,92,0,95,17,55,40,0,38,0,0
0,0,61,39,0,0,0,0,83,50,87,74,0,0,0,63,49,41,67,0,0,0
50,208,154,150,216,65,103,59,18,42,29,0,45,62,0,39,73,52,17,49,20,148
42,132,24,34,76,0,23,16,0,0,37,57,10,24,25,49,209,228,53,115,113,243
0,0,54,117,20,0,45,33,32,42,43,63,32,0,0,42,219,141,32,147,153,59
86,35,52,49,0,0,0,0,68,122,86,52,0,0,0,52,56,59,30,0,0,0
0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,137,58,0,37,0,0,0
0,67,43,49,0,0,0,0,73,88,163,82,0,0,0,61,149,91,121,0,0,0
0,66,105,79,58,0,111,115,166,105,52,0,144,0,0,0,85,60,0,0,0,0
36,81,33,48,21,0,61,46,31,133,197,51,42,35,59,45,142,147,67,104,56,73
0,62,45,89,23,0,0,0,0,31,49,72,0,102,0,38,32,36,50,41,0,18
0,38,0,39,0,0,0,0,0,0,72,0,0,0,29,0,0,49,55,0,0,0
33,46,116,50,31,0,14,0,0,29,14,57,0,0,0,0,0,0,0,0,0,0
46,124,34,0,0,0,0,0,72,70,77,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,29,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0
44,168,118,132,72,175,87,66,0,69,64,0,106,44,70,0,41,0,0,38,0,78
27,63,79,48,0,0,0,0,0,64,39,0,0,0,0,0,0,0,0,0,0,0
12,68,37,0,0,0,0,0,0,71,21,82,0,52,0,0,0,0,0,0,0,0
0,142,171,153,58,0,52,58,0,44,61,0,0,0,37,0,0,0,0,0,0,34
78,11,39,0,0,0,0,0,0,44,20,25,10,0,0,0,63,0,0,0,0,0
52,79,131,0,0,0,15,0,148,93,35,51,0,0,0,37,62,18,94,0,0,0
57,107,134,194,131,0,39,57,0,0,0,0,0,0,88,51,143,106,0,58,57,115
29,93,96,124,0,25,48,59,59,76,51,71,76,35,0,0,0,0,64,0,0,40
0,0,64,85,0,0,34,0,0,39,41,82,0,0,0,0,41,62,0,0,0,0
63,135,162,117,109,47,91,64,24,52,48,74,41,53,28,17,41,28,0,49,0,31
0,30,0,0,38,0,0,26,56,0,0,0,31,74,31,84,281,106,311,52,0,0
0,45,85,180,0,0,0,0,90,59,54,0,0,0,0,0,195,0,179,0,73,0
130,129,113,119,0,0,16,0,64,70,79,0,8,0,0,0,7,0,27,0,0,0
46,31,0,0,0,0,17,0,0,55,0,15,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,22,13,18,28,0,0,0
51,147,120,118,70,17,58,42,15,97,58,111,77,24,23,19,36,0,0,30,0,24
36,72,81,105,73,20,90,59,0,24,39,0,0,0,32,48,151,33,84,95,28,36
6,8,0,0,15,0,183,920,0,0,0,0,35,0,0,0,23,30,0,67,99,6
0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0
53,11,0,0,0,0,273,0,592,38,55,340,11,0,0,0,0,0,0,0,0,0
0,16,24,38,0,0,0,0,14,83,0,589,0,36,0,0,0,0,0,0,0,0
0,112,93,120,24,29,106,76,0,36,34,29,46,60,23,0,35,22,21,21,0,24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,43,91,0,0,0
18,23,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,224,0,0,0,35
0,0,54,0,0,0,0,0,32,58,0,112,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,0,0,0,0
0,0,27,0,12,0,0,0,0,0,0,25,0,0,0,36,44,34,17,0,0,13
49,0,0,0,62,0,0,0,24,0,46,44,0,0,0,55,84,48,56,0,0,0
33,146,78,61,0,0,64,84,138,87,76,0,78,32,0,0,72,0,60,0,0,30
0,0,0,0,0,0,0,35,0,0,0,0,0,31,0,0,0,417,0,204,81,0
0,0,27,52,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
0,23,0,0,0,0,0,0,82,38,27,0,35,0,0,86,288,81,304,0,35,0
0,30,0,0,0,0,0,0,0,0,40,0,0,0,0,0,70,39,330,0,0,0
0,65,90,90,33,17,39,27,0,63,100,79,47,0,0,21,51,26,0,40,0,0
0,123,50,0,0,0,0,0,0,27,35,0,0,0,0,0,0,0,0,0,0,0
0,0,0,49,0,0,0,13,21,0,121,0,0,55,0,0,130,0,51,0,0,0
21,17,55,24,64,0,0,0,0,0,17,0,0,0,0,0,35,29,0,16,0,33
12,32,79,54,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,30,46,0,32,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,70,26,0,0,0
13,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,40,0,0,0,0,0
0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,86,0,0,57,0,0,0
0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,67,0,0,0,0
44,58,47,44,0,0,0,0,19,53,42,0,0,0,0,0,33,57,70,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,183,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,22,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,11,0,0,9
0,12,54,28,22,0,33,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0
0,89,0,0,0,0,0,0,40,24,48,0,0,0,0,0,0,0,0,0,0,0
52,66,53,58,53,0,70,41,47,68,79,35,55,0,0,0,37,0,0,48,33,32
0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,24,109,54,0,619,44,30
54,76,98,153,61,0,0,0,0,31,46,0,0,0,0,49,84,30,0,40,0,47
0,0,0,0,12,0,0,0,27,0,0,0,0,0,0,72,52,61,0,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,64,153,0,0,0
0,0,0,0,0,0,40,0,12,87,15,0,22,0,29,68,58,46,28,257,26,14
0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,69,35,0,73,0,0,0
0,22,20,0,33,0,0,0,0,37,0,74,0,0,20,0,0,0,0,0,0,0
68,166,105,0,0,67,8,0,40,23,0,71,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,55,0,0,0,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,133,0,0,0
0,79,0,24,0,0,143,82,76,108,141,0,270,0,0,0,0,0,0,0,0,0
34,93,45,48,13,0,50,24,34,55,44,0,53,19,20,25,53,44,0,18,0,0
0,41,39,41,41,24,63,0,23,17,92,0,31,51,0,36,63,37,0,0,0,91
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
0,0,0,48,0,0,0,62,0,0,0,0,0,0,0,0,131,112,0,140,0,0
38,24,0,0,0,0,26,0,20,96,72,0,21,0,17,0,0,8,0,0,0,32
30,55,71,87,52,0,38,30,0,35,17,0,0,0,0,0,63,30,0,32,22,26
55,0,0,0,0,0,0,0,0,45,37,0,0,0,0,0,25,0,0,0,0,0
75,104,72,89,84,42,89,40,50,76,49,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,21,0,118,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
0,79,55,53,80,0,68,71,0,25,0,52,41,0,31,0,32,27,27,0,0,88
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,31,0,0,0
96,0,0,0,0,0,0,0,79,47,0,0,0,0,0,59,59,0,80,0,0,0
0,0,0,0,0,0,0,0,0,22,40,0,0,0,0,18,14,28,0,0,0,0
0,54,0,0,88,0,60,85,0,41,0,0,48,0,0,0,99,92,0,143,101,0
0,21,33,20,0,0,0,0,0,52,0,38,0,0,0,0,37,35,0,26,0,0
0,0,12,0,0,0,0,0,0,51,63,0,10,0,0,43,43,68,0,60,17,29
37,79,0,38,0,0,0,0,206,77,71,138,68,23,0,0,0,0,0,0,0,0
58,35,55,45,59,0,0,38,38,55,87,0,78,0,27,25,91,64,20,0,0,0
0,23,0,0,51,0,72,45,0,37,0,0,188,61,0,0,64,28,65,40,42,24
10,28,0,0,16,0,101,18,0,20,27,0,22,0,0,34,100,81,10,184,44,80
0,71,49,73,48,0,57,52,0,0,32,0,76,35,57,0,51,51,12,0,53,22
0,44,20,24,126,0,15,14,0,0,0,0,16,0,0,43,95,93,0,72,86,134
0,0,0,0,0,0,12,22,0,0,18,0,164,0,629,0,0,0,0,10,0,0
53,191,132,78,95,54,58,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,41,65,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0
20,16,53,26,54,0,9,0,0,8,0,71,0,0,0,0,0,8,0,0,0,0
33,35,10,0,0,0,0,0,74,0,0,0,0,0,0,0,47,0,117,0,0,0
0,102,112,150,73,0,113,0,0,0,0,0,0,58,44,0,0,0,0,0,0,0
0,0,58,0,0,0,119,75,0,0,0,0,57,0,104,0,0,0,0,68,0,125
0,0,102,0,0,0,0,0,75,63,0,52,25,0,0,0,66,0,0,0,0,0
56,0,0,0,0,52,0,0,57,119,70,59,13,0,0,0,0,0,0,0,0,0
0,45,0,144,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,15,24,0,0,0,0,0,46,79,138,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,40,0,0,24,0,0,0
31,47,39,0,0,0,0,0,36,0,39,28,0,0,15,37,66,98,37,5,30,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
0,44,63,68,0,0,0,0,110,61,0,88,0,0,0,0,55,0,0,0,0,0
17,51,42,48,17,10,136,99,0,0,0,0,0,0,0,34,35,0,0,16,0,8
48,40,104,68,0,0,28,0,0,0,34,0,0,0,11,0,0,0,0,0,0,38
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0
0,33,42,52,22,0,0,31,0,0,40,41,12,0,33,0,45,47,22,41,23,44
0,0,69,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,670,64,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,51,0,79,0,335,52,0
0,51,79,119,78,0,63,35,0,0,0,0,0,0,0,0,43,0,0,22,0,40
10,18,42,8,0,0,29,0,0,19,32,0,0,0,0,0,26,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,69,0,0,0,0,0
35,0,30,25,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,23,0
0,56,146,61,0,0,0,0,0,129,0,0,0,84,0,0,42,50,0,0,0,0
0,15,27,42,9,0,0,0,0,30,12,70,0,0,0,0,26,60,51,0,0,0
23,70,40,27,70,49,57,47,0,23,0,0,0,0,49,0,42,29,0,32,0,69
0,0,0,0,0,0,0,32,0,0,0,0,0,76,0,0,0,356,0,132,49,0
0,0,0,0,0,0,0,0,0,20,0,0,0,0,17,0,29,0,0,0,0,0
0,54,58,54,0,0,0,0,79,70,63,114,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,28,0,19,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,51,0,0,27,0,0,21,0,28,42,29,0,56,147,58,83,0,69
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,20,0,44,0,0,0,0
0,0,0,0,0,0,30,142,0,0,0,0,0,0,0,0,63,59,0,196,154,0
23,63,53,101,58,0,117,104,0,0,31,0,71,41,0,0,0,0,0,0,0,0
0,28,27,0,0,0,0,0,0,37,0,66,0,0,0,0,0,0,0,0,0,18
0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
29,90,6,37,31,25,41,0,26,18,61,0,6,28,14,33,35,0,0,0,0,69
0,41,0,50,55,0,0,38,0,48,28,49,0,56,93,0,73,27,0,0,34,0
0,0,0,0,0,0,0,0,0,46,23,117,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,22,0,12,0,202,0,78,23,0,92,240,0
0,61,0,64,0,0,0,0,37,95,77,0,0,0,0,0,0,0,0,0,0,30
0,0,0,20,26,0,0,0,0,0,0,0,0,0,0,0,107,168,43,53,63,155
75,0,66,83,0,0,68,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
0,67,30,24,59,0,97,42,0,86,115,0,23,0,0,0,62,0,0,47,0,0
0,66,79,0,51,66,32,0,0,0,0,0,107,86,53,0,0,0,0,21,0,54
0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
0,46,89,89,25,0,41,20,0,29,0,49,0,23,0,0,24,0,0,0,0,24
0,0,0,0,0,0,33,0,0,0,36,38,16,155,0,18,14,21,0,0,0,28
0,0,0,3,0,0,71,481,0,0,0,19,0,7,0,0,0,0,0,38,59,0
0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,28,127,117,0,118,86,62
10,0,13,105,50,0,0,0,0,0,0,0,0,0,0,32,0,23,38,0,0,0
0,0,78,0,67,50,0,36,0,0,0,0,43,0,54,19,62,35,0,47,21,102
0,52,45,52,26,7,103,61,45,65,98,0,38,0,0,39,0,0,0,0,0,0
0,230,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
0,66,48,19,71,0,47,44,0,46,36,0,60,30,57,0,0,0,0,42,0,22
0,0,30,35,0,0,0,0,0,0,0,0,0,0,0,19,24,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,187,24,20,0,86
0,96,94,130,0,0,46,72,0,24,19,0,0,52,0,0,0,0,0,0,0,0
46,63,81,68,57,35,48,25,0,0,0,0,34,0,0,0,46,37,0,33,0,58
0,67,51,49,63,54,68,37,0,0,0,0,0,0,0,0,76,41,0,48,35,39
0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,123,156,114,39,0,73,36,0,0,0,0,27,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,0,47,0,11
0,44,28,0,0,0,0,0,17,34,56,19,29,0,0,0,0,0,0,0,0,0
0,0,36,0,0,0,0,0,0,0,0,75,0,0,0,39,45,72,42,0,0,0
44,78,82,97,31,0,22,0,0,0,0,0,0,0,16,0,28,64,0,33,0,0
12,16,39,36,106,85,33,24,0,0,0,0,0,0,0,0,47,41,0,86,29,60
0,66,101,68,196,0,55,65,0,0,0,0,0,0,0,0,18,0,0,29,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,23,0,0,0,0
0,84,57,27,23,0,0,0,0,29,16,0,0,0,0,0,0,0,0,0,0,0
